Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
China,CHN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.2400894189889,18.1343618544823,18.0538360554933,17.9946160874834,17.9373611027194,17.8770027525543,17.8045083433876,17.7118153851715
China,CHN,"Population ages 0-14, female",SP.POP.0014.FE.IN,114884313,114784041,114866193,115187439,115538030,115760315,115819807,115732456
China,CHN,"Population ages 0-14, male",SP.POP.0014.MA.IN,132703414,132617936,132691619,132898415,133144918,133218041,133036321,132607035
China,CHN,"Population ages 0-14, total",SP.POP.0014.TO,247587326,247401658,247557811,248085474,248682677,248978380,248856284,248339489
China,CHN,"Population ages 05-09, female",SP.POP.0509.FE,37475737,37718291,37989368,38299548,38650007,38966616,39213782,39370163
China,CHN,"Population ages 05-09, male",SP.POP.0509.MA,43595951,43949461,44286313,44611644,44906347,45090038,45153870,45122599
China,CHN,"Population ages 10-14, female",SP.POP.1014.FE,38201266,37699313,37401851,37291875,37345505,37486231,37675869,37906789
China,CHN,"Population ages 10-14, male",SP.POP.1014.MA,43747057,43336806,43143683,43160864,43352998,43625048,43910891,44177462
China,CHN,"Population, total",SP.POP.TOTL,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,1397715000,1402112000
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,697356463,700776622,704210775,707884097,711687182,714757755,717118675,719160951
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,660023537,663493378,667009225,670780903,674707818,677972245,680596325,682951049
"Congo, Rep.",COG,"Population ages 00-04, female",SP.POP.0004.FE,374836,380537,386043,390549,394475,398206,402153,406577
"Congo, Rep.",COG,"Population ages 00-04, male",SP.POP.0004.MA,382071,387956,393651,398491,402690,406656,410798,415382
"Congo, Rep.",COG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.0959158182922,42.1466142112605,42.1547972187529,42.0756410966803,41.9441974134633,41.7635024604532,41.5372488991746,41.2702626834263
"Congo, Rep.",COG,"Population ages 0-14, female",SP.POP.0014.FE.IN,965591,990464,1015435,1039253,1062689,1085531,1107468,1128317
